Concept,Definition,Derivation sources (bib keys),ArchiMate element,Representation rationale,Notes
Digital Asset,"Any digital resource (data, software, service, or infrastructure) that contributes to value creation and may be exposed to threats","almeida2019conceptual,ramalho2025mlr,fernandes2022enterprise",Application Component / Technology Object,"Encapsulates data, applications, or infrastructure elements exposed to DR.",
Asset Landscape,The overall set of digital assets and their relationships within the organizational context. It represents the environment in which DRs arise,"almeida2019conceptual,fernandes2022enterprise",,,No entry in the manuscript ArchiMate mapping table; concept instantiated in the case views.
DT,"A process of continuous technology-driven change that reshapes the organization's operating model, governance, and risk profile","vial2021understanding,romero2019five,bogea2023towards",,,No entry in the manuscript ArchiMate mapping table; concept instantiated in the case views.
Interdependency,Bidirectional relationships among internal or third-party assets that influence risk propagation across the enterprise ecosystem,"almeida2019conceptual,fernandes2022enterprise,kure2022integrated",Relationship (Serving / Flow),Models bidirectional dependencies among entities.,
Organizational Perimeter,"The boundaries—physical, logical, and contractual—that define the scope of DR accountability","almeida2019conceptual,fernandes2022enterprise",,,No entry in the manuscript ArchiMate mapping table; concept instantiated in the case views.
Threat,Any potential cause of an unwanted incident that may result in harm to systems or organizations,"bjornsdottir2022importance,mayer2019integrated,fernandes2022enterprise",,,No entry in the manuscript ArchiMate mapping table; concept instantiated in the case views.
Threat Agent,An actor (human or system) that exploits a vulnerability to trigger a threat event,"almeida2019conceptual,ramalho2025mlr",,,No entry in the manuscript ArchiMate mapping table; concept instantiated in the case views.
Vulnerability,A weakness of an asset or control that can be exploited by one or more threats,"bjornsdottir2022importance,fernandes2022enterprise",Technology Service / Node,Represents weaknesses in systems or services that can be exploited.,
Risk Event,The occurrence or change of a particular set of circumstances that affects the achievement of objectives,iso31k18,Business Event,Captures the occurrence of an adverse situation affecting objectives.,
Risk Source,The element or circumstance that has the intrinsic potential to give rise to risk,iso31k18,External Actor / Business Event,Describes the origin or cause of risk external to the system.,
Control,"A measure that modifies risk, designed to prevent or mitigate adverse effects",iso31k18,Business Process / Application Function,Represents preventive or corrective activities implemented to modify risk.,
Treatment,"The process of modifying risk, which may involve avoidance, mitigation, transfer, or acceptance",iso31k18,Business Process,Defines the steps or procedures to handle a specific risk scenario.,
Risk Owner,A role accountable for ensuring that risks are appropriately managed and monitored,iso31k18,Business Role,Represents the actor responsible for a RM activity within the organization.,
Governance Mechanism,"The structure of policies, roles, and processes that provide oversight and ensure the effectiveness of RM","almeida2019conceptual,fernandes2022enterprise",Business Function,"Encapsulates decision-making and oversight activities, ensuring compliance and performance.",
Performance Indicator,A measurable variable used to assess the effectiveness of risk controls and governance practices,"almeida2019conceptual,fernandes2022enterprise",Assessment,"Analyzed result that quantifies control effectiveness and informs risk treatment decisions, closing the monitoring loop between Operational and Governance dimensions (ISO 31000:2018).",
Policy,,,Business Object,Formal documentation of governance rules and guidelines.,Listed only in the ArchiMate mapping table; definition given in manuscript prose.
Stakeholder,,,Business Actor,Represents any internal or external party with an interest in RM outcomes.,Listed only in the ArchiMate mapping table; definition given in manuscript prose.
Organization,,,Business Actor,Represents the enterprise as a collective unit with defined governance scope.,Listed only in the ArchiMate mapping table; definition given in manuscript prose.
RM,,,Business Process / Capability,Represents the coordinated activities to direct and control RM across levels.,Listed only in the ArchiMate mapping table; definition given in manuscript prose.
